lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
ce5596cbca90c599ae6ff5322d432ac9,上海期货交易所风险控制管理办法（2009）,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
b817d90a756c9853350fca7390ab7cdc,陕西银监局审慎监管强制措施操作规程,fg_crawl_faxin,地方法规/文件,,陕西省级法规,陕西省
c87ffcd8473c7756d00c283ca0e11238,公布2008年上海市企业产品获采用国际标准产品标志的产品目录,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
5704789c03aea31b69e303dca7613d21,新疆维吾尔自治区农业机械驾驶（操作）人考验员管理办法,fg_crawl_faxin,地方法规/文件,,新疆区级法规,新疆维吾尔自治区
c349208bbf97f0cf213fa88ac2fd8eac,上海期货交易所违规处理办法,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
ea5691cadaa7228e6df19881baf12b97,轻型房屋钢结构工程设计专项资质丙级标准（暂行）,fg_crawl_faxin,地方法规/文件,,,
5c793ae7fd322df695417c04a6b88af,深圳市教育局2009年度公共服务白皮书,fg_crawl_faxin,地方法规/文件,,深圳市,广东省
a44b8d2f477fa7e63eacc38ef5bb40c8,云南省进出口商品许可证打证管理暂行办法,fg_crawl_faxin,地方法规/文件,,云南省级法规,云南省
656bfc37b76225f4a0d704eef07830d,河北省行政处罚案卷标准（试行）,fg_crawl_faxin,地方法规/文件,,河北省级法规,河北省
b980652e4301a3a4a07239280034123,云南省煤矿职业病危害申报管理办法（试行）,fg_crawl_faxin,地方法规/文件,,云南省级法规,云南省
ea85f93df08d56826ec9dbe9e74ce4a0,甘肃省农业机械推广鉴定获证产品及其生产企业目录（2009年第三批）,fg_crawl_faxin,地方法规/文件,,甘肃省级法规,甘肃省
2356f888302b716eb79d8137fa667de7,重庆市渔业船舶安全管理暂行办法,fg_crawl_faxin,地方法规/文件,,直辖市级法规,重庆市
a199047ef37b0bfdac9f7c5cd93b370d,上海市通信管理局、上海市公安局、上海市文化广播影视管理局、上海市工商行政管理局、上海市信息化办公室通告,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
f4c3ce05acf58eb7a639d50300f8520f,金融危机对北京市审判工作的影响（北京市高级人民法院研究室）,fg_crawl_faxin,地方司法文件,,直辖市级法规,北京市
62f56a4e9e79904688c81f6130aadfc2,抚州市土地储备实施办法,fg_crawl_faxin,地方法规/文件,,抚州市,江西省
1be0417ce9625198ae1aaa858797219d,北京市法院网络宣传管理规定,fg_crawl_faxin,地方司法文件,,直辖市级法规,北京市
d4f27984b882fa0f493806fed23d3521,上海市出版物发行网点建设扶持资金管理办法（2012版）,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
e3bc01d6dc31f43c54895b3ba15a4a0b,北京市朝阳区人民代表大会代表视察办法（2005修正）,fg_crawl_faxin,地方法规/文件,,朝阳区,北京市
29d48cc7926fbd51a4d8e27edad20e09,海南省职工购买公有住房和购建经济适用住房土地使用权登记发证办法,fg_crawl_faxin,地方法规/文件,,海南省级法规,海南省
28ce5f245b8008b10c848c1c6c2a6992,安徽省残疾人就业保障金管理暂行办法,fg_crawl_faxin,地方法规/文件,,安徽省级法规,安徽省
a73b54e4f2e6fc97e4757671cc66cf89,汕头海关关区内各口岸全面启动进口货物分类通关改革工作,fg_crawl_faxin,地方法规/文件,,汕头市,广东省
1040f47ca7300311b17028e1b054f5aa,上海市事业单位聘用制干部管理暂行办法,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
182d351f59f307674cd5cb3ee2e1241f,上海市铸造、锻造、热处理、电镀工艺专业化管理暂行办法,fg_crawl_faxin,地方法规/文件,,直辖市级法规,上海市
bbc3dff3624db946d0d34b9909dbc45f,江苏省肥料登记管理办法,fg_crawl_faxin,地方法规/文件,,江苏省级法规,江苏省
