lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
ea5691cadaa7228e6df19881baf12b97,轻型房屋钢结构工程设计专项资质丙级标准（暂行）,fg_crawl_faxin,地方法规/文件,,,
1fac33ab22f942bb8a3401a1cbe87bfc,中关村知识产权促进局关于申报2015年度示范园区专利创业专项资金的通知,fg_crawl_faxin,地方法规/文件,中关村知识产权促进局,,
418a561f656602dca8e4389ec7e3c6b0,临夏州住房公积金管理委员会关于印发《临夏州住房公积金归集暂行办法》、《临夏州住房公积金提取暂行办法》、《临夏州住房公积金个人贷款暂行办法》的通知,fg_crawl_faxin,地方法规/文件,临夏州住房公积金管理委员会,,
7e12ce7e131c820f6d667fa75757bb15,第三十九次农作物品种审定公告（品种简介）,fg_crawl_faxin,地方法规/文件,什邡市阳光农业科学推广所,,
daf15e2d71ed6d70be452affbc6541d4,辽省人口计生委关于开展7.11世界人口日宣传活动的通知,fg_crawl_faxin,地方法规/文件,辽省人口计生委,,
b6e4b2234049ec709fa7054f682971d4,交通运输部珠江航务管理局2012年补充录用公务员面试公告,fg_crawl_faxin,地方法规/文件,交通运输部珠江航务管理局,,
5981e9e11a8ff45bd60869db180d8809,《工程勘察设计单位年检管理办法》实施细则,fg_crawl_faxin,地方法规/文件,,,
b7627ad8eb34bf117656831446c138bf,关于企业工人流动的若干规定,fg_crawl_faxin,地方法规/文件,北京市人民政府,,
d4d9e787efed7fdbb07c1188bd8eae7f,全省工商行政管理系统依法行政考核评价暂行办法,fg_crawl_faxin,地方法规/文件,江苏省工商行政管理局,,
94bd4f213f06b6909369c9077258e3d8,证券账户使用信息申报全网测试方案,fg_crawl_faxin,地方法规/文件,,,
9276e23dc538b99438d62f450e80fdb6,公有居住房屋分列租赁户名的若干规定,fg_crawl_faxin,地方法规/文件,,,
1f7d7ab993cdcb133254f8c74af47842,证券公司股票报盘质押指引,fg_crawl_faxin,地方法规/文件,,,
a4e5944eb32fb43d712e89259b32c6c8,核发《种畜禽生产经营许可证》的种畜禽场名单,fg_crawl_faxin,地方法规/文件,江西省农业厅,,
2c4a27d62989356e04724a37a4ed5203,黔西南州政务服务中心关于印发《黔西南州政务大厅窗口人员考勤复核办法》的通知,fg_crawl_faxin,地方法规/文件,黔西南州政务服务中心,,
6aa6fcdfe01c748855fa16e69ed35f98,刑事法律适用问题解答（二）,fg_crawl_faxin,地方司法文件,,,
6a5a55fac62e6f4d5035c781b3b7588c,人身保险收付费风险管理操作规范,fg_crawl_faxin,地方法规/文件,,,
5140b8846ba03e0cc39537b0019166d8,深控办关于进一步规范和加强控制社会集团购买力工作的通知,fg_crawl_faxin,地方法规/文件,深控办,,
b90b649055f58836f6551ab7b2ac244f,省人民政府关于取消和调整一批行政审批项目的决定,fg_crawl_faxin,地方法规/文件,省人民政府,,
dfefd9f42b2e6a6640952bb61108495e,关于技术交易合同登记的若干规定,fg_crawl_faxin,地方法规/文件,北京技术市场协调指导办公室,,
b65abf6c140159b6ebdee4cadf244bc4,首都城市环境建设委员会、首都精神文明建设委员会关于在全市600个试点小区建立垃圾减量垃圾分类指导员队伍的指导意见,fg_crawl_faxin,地方法规/文件,首都精神文明建设委员会,,
3eb5ebc5690a77d007dcb303eaf85054,电子振兴基金管理办法,fg_crawl_faxin,地方法规/文件,北京市财政局,,
3142b7832c6e46ce584e8d5466dbf54a,关于实行凭《法定代表人证明书》、《法人授权委托证明书》签定经济合同的通知,fg_crawl_faxin,地方法规/文件,,,
b9dedd99b26cb13e91b857b2302ec9e1,住房公积金“二手房”、“以贷还贷”贷款实施细则,fg_crawl_faxin,地方法规/文件,,,
94d4c6aca79e8ca5d0650b4d22d7c338,煤矿安全评价人员职业准则,fg_crawl_faxin,地方法规/文件,山西省煤矿安全监察局,,
33c5612bca2f85c98e6ac3d9476f4a08,外商投资企业和外国企业所得税审批事项管理办法（试行）,fg_crawl_faxin,地方法规/文件,山东省国家税务局,,
45c3a155c6e47854ae4bf47e521ab7e2,批转省残联关于加快发展我省残疾人事业的意见的通知,fg_crawl_faxin,地方法规/文件,广东省人民政府,,
