lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
d4043b760a5cf25fcd378440adbc5eb,中共中央关于加强和改进新形势下党史工作的意见,fg_crawl_faxin,,中共中央,全国,全国
bb5c6a8f59657183bf64f01d303ba237,中共中央办公厅、国务院办公厅关于印发《电子文件管理暂行办法》的通知,fg_crawl_faxin,,"中共中央办公厅,国务院办公厅",全国,全国
306142343c1bde430c260e55e90db24,中国共产党章程（2012修改）,fg_crawl_faxin,,中共中央,全国,全国
791163a74471710e869d4bfc5d09d970,汉中市最低生活保障经办人员和村（居）民委员会成员近亲属享受最低生活保障备案管理制度（试行）,fg_crawl_faxin,,汉中市人民政府,全国,全国
3ec6ec8df0cb2ea75a80b2e967ac0bf9,通化市人民政府关于印发通化市免疫无口蹄疫区建设实施方案的通知,fg_crawl_faxin,,通化市人民政府,全国,全国
77e0a792a65db8d5b0391107baf46f32,丽水市人民政府办公室关于印发丽水市发展学前教育第二轮三年行动计划（2015—2017年）的通知,fg_crawl_faxin,,丽水市人民政府,全国,全国
1ec89a07e6cd660010d7bacfbedb3f37,丽水市人民政府办公室关于印发丽水市市场监督管理局主要职责内设机构和人员编制规定的通知,fg_crawl_faxin,,丽水市人民政府,全国,全国
62a36e645b571079cbfc961b8e7d4e53,丹东市人民政府关于促进红十字事业发展的意见,fg_crawl_faxin,,丹东市人民政府,全国,全国
c0b2327f6cd742bbdaa8b6a1f79f584b,中共中央办公厅、国务院办公厅、中央军委办公厅关于基层人民武装部机构设置、干部配备原则等问题的通知,fg_crawl_faxin,,"中共中央办公厅,国务院办公厅,中央军委办公厅",全国,全国
a16a87165d8bedf9a1ffa8e5aaf119aa,关于建国以来党的若干历史问题的决议,fg_crawl_faxin,,,全国,全国
639a703c8b5b131059cd6a068efebe97,丹东市人民政府办公室转发市卫生计生委关于丹东市村卫生室实施国家基本药物制度工作指导意见的通知,fg_crawl_faxin,,丹东市人民政府,全国,全国
6309b6b943cf16d98220940f10617ce7,干部教育培训工作条例,fg_crawl_faxin,,,全国,全国
a8dcde0f2b9f274a589d3ec77178e485,枣庄市人民政府办公室印发枣庄市永久基本农田划定工作方案、关于开展土地规划调整完善工作意见的通知,fg_crawl_faxin,,枣庄市人民政府,全国,全国
30466a4082978203047f15f9568b498f,中国共产党党组工作条例（试行）,fg_crawl_faxin,,中共中央,全国,全国
a18ea0d0e956b535529a8ae53f985c1d,中共中央关于清理历史遗留问题中涉及到有关中央文件的处理办法的通知,fg_crawl_faxin,,中共中央,全国,全国
ebb0cf72c8957f75bd6a0e47cf8ada29,开封市人民政府办公室关于推行工商营业执照、组织机构代码证和税务登记证“三证联办”的通知,fg_crawl_faxin,,开封市人民政府,全国,全国
33cd27f0374fc0c70b52c161ec62e8be,咸阳市人民政府办公室关于医改资金保障和监管的实施意见,fg_crawl_faxin,,咸阳市人民政府,全国,全国
aea3d6ac258a37a8475b49bf5d5254de,三明市人民政府关于2014年度三明市科技进步奖励的决定,fg_crawl_faxin,,三明市人民政府,全国,全国
4dbd71aec1d94995839592fed3b362f1,中办转发《中央组织部、中央宣传部关于在党的基层组织和党员中深入开展创先争优活动的意见》,fg_crawl_faxin,,,全国,全国
26d84c136b8087636fae78c5cd5ac7fb,宿迁市人民政府办公室关于印发宿迁政务服务网运行与使用工作问责暂行办法的通知,fg_crawl_faxin,,宿迁市人民政府,全国,全国
b91881cc66a3622b4efa3319a90e108e,中共中央办公厅印发《关于推进学习型党组织建设的意见》,fg_crawl_faxin,,中共中央办公厅,全国,全国
af9cb9d3675995b6807fee7fbc4c8f34,事业单位领导人员管理暂行规定,fg_crawl_faxin,,,全国,全国
ad603f30dd9d73100af300498a4a16d9,中共中央办公厅关于印发《中国共产党党内法规和规范性文件备案规定》的通知,fg_crawl_faxin,,中共中央,全国,全国
c170466617a21643515aa8e599f22739,咸阳市人民政府办公室关于印发《咸阳市城市地下管线普查工作实施方案》的通知,fg_crawl_faxin,,咸阳市人民政府,全国,全国
108f37695a418ab50b5e25d4ca8efdb7,中共中央办公厅印发《关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案》,fg_crawl_faxin,,中共中央办公厅,全国,全国
dbaabdd6bb2e571addde2bc1d937dfc0,开封市人民政府办公室关于2014年消防工作责任目标考核暨劳动密集型企业消防安全督导情况的通报,fg_crawl_faxin,,开封市人民政府,全国,全国
70377b332d629a303307450e64020ede,大庆市人民政府办公室关于印发大庆市行政审批事项动态清理制度的通知,fg_crawl_faxin,,大庆市人民政府,全国,全国
c478879d088add4e8c0a0cd5d28a1403,中共中央关于印发《中国共产党党员权利保障条例》的通知,fg_crawl_faxin,,中共中央,全国,全国
a1a4048dcc5c833b8dc8977c1e043ebc,三亚市人民政府2014年政府信息公开工作年度报告,fg_crawl_faxin,,三亚市人民政府,全国,全国
2ad3aa61de8eb7b082d31d2343e39bdf,中共中央关于加强人民政协工作的意见（摘要）,fg_crawl_faxin,,中共中央,全国,全国
f7debe4307d7757f5de31d66f7205b77,百色市人民政府办公室关于印发百色市突发水污染环境事件应急预案的通知,fg_crawl_faxin,,百色市人民政府,全国,全国
5171b247abe041be6752651495e09aff,中共中央办公厅、国务院办公厅印发《关于深入开展民族团结宣传教育活动的意见》的通知,fg_crawl_faxin,,"中共中央办公厅,国务院办公厅",全国,全国
2dda737be8ee6ced34b73ff1bd231cff,重庆市綦江区人民政府办公室关于印发綦江区安全生产风险隐患管理办法的通知,fg_crawl_faxin,,重庆市綦江区人民政府,全国,全国
345df6a8f390e814f90523e5b674607e,中共中央关于加强党的建设几个重大问题的决定,fg_crawl_faxin,,中共中央,全国,全国
3ecce3abbb927d3d0c635a27fe267cee,鸡泽县人民政府办公室关于印发鸡泽县2015年政府信息公开工作要点分解细化方案的通知,fg_crawl_faxin,,鸡泽县人民政府,全国,全国
aeef8cff251d2047582b25a72fcf5d3e,三明市人民政府办公室关于认真做好人大代表建议和政协提案办理工作的通知,fg_crawl_faxin,,三明市人民政府,全国,全国
30f838212126fe85394130bf1e713436,咸阳市人民政府办公室关于印发《咸阳市2014年政府信息公开工作年度报告》的通知,fg_crawl_faxin,,咸阳市人民政府,全国,全国
7f206b722dcb8bb6f0f181ec4788603a,关于在全体党员中开展“学党章党规、学系列讲话，做合格党员”学习教育方案,fg_crawl_faxin,,,全国,全国
f7bd44f5a68b67512eb2c0d1022a1b08,定州市出入境管理部门行政案件受理范围,fg_crawl_faxin,,,全国,全国
57ae6afedb98e820cec8014b1f6890c0,中共中央办公厅　关于加强对涉及党和国家主要领导同志的书籍、文章和影视等作品管理的通知,fg_crawl_faxin,,中共中央办公厅,全国,全国
d27a02687ba3e6d6487176836f847007,盐城市人民政府关于印发盐城市通榆河管理与保护办法的通知,fg_crawl_faxin,,盐城市人民政府,全国,全国
63088d8b464df44013730a6c72d77933,丹东市人民政府关于进一步深化行政审批制度改革转变职能简政放权的意见,fg_crawl_faxin,,丹东市人民政府,全国,全国
4b79c62efc706d501ebb2d87b1b3c056,三明市人民政府关于三明市银锭山等四个地块控制性详细规划的批复,fg_crawl_faxin,,三明市人民政府,全国,全国
cf57cf286f7fb2721e10099502c6c141,咸阳市人民政府办公室关于印发《咸阳市“治污降霾　·　保卫蓝天”五年行动计划（2013—2017年）》的通知,fg_crawl_faxin,,咸阳市人民政府,全国,全国
6a889743c699a9d9847e0f7da1814d6a,推进领导干部能上能下若干规定（试行）,fg_crawl_faxin,,,全国,全国
839da76f3e695bb5e23eceb03151a6fb,关于加强社会组织党的建设工作的意见（试行）,fg_crawl_faxin,,中共中央办公厅,全国,全国
906ba3475e986990868fe6e91817b737,中共中央关于处理建国前党员脱党期间党籍、党龄问题的几点补充规定,fg_crawl_faxin,,中共中央,全国,全国
3f49a1a81218e806303b589f52dc3989,中共中央办公厅关于印发《党政领导干部选拔任用工作责任追究办法（试行）》的通知,fg_crawl_faxin,,中共中央办公厅,全国,全国
2284f15d2f1502fd66d96b5a4379d9bf,中共中央办公厅、国务院办公厅印发《关于进一步加强西部地区人才队伍建设的意见》的通知,fg_crawl_faxin,,"中共中央办公厅,国务院办公厅",全国,全国
4e56508bc6b763c8aa30a3db67396a3b,关于党内政治生活的若干准则,fg_crawl_faxin,,中共中央,全国,全国
3ff24157d3de98570feb93586919a958,中共中央发出关于印发《科学发展观学习纲要》的通知,fg_crawl_faxin,,中共中央发出,全国,全国
3cb1d60da1c1c1c9309acfd29b95a289,丽水市人民政府办公室关于印发丽水市区限制黄标车及无标车通行方案的通知,fg_crawl_faxin,,丽水市人民政府,全国,全国
1f982cffdcd07f0746e834f1456a13c,北京市人民政府关于印发《北京市“十三五”时期环境保护和生态建设规划》的通知,fg_crawl_faxin,,北京市人民政府,全国,全国
89aa0ec3c70073f924089ac66354811d,开封市人民政府办公室关于成立全市深化教育领域综合改革领导小组的通知,fg_crawl_faxin,,开封市人民政府,全国,全国
65843718e8e191d124d8c620700ebf14,丹东市人民政府关于建立统一的城乡居民基本养老保险制度的实施意见,fg_crawl_faxin,,丹东市人民政府,全国,全国
13babfe2bc85e276169c6a402390c63b,大庆市人民政府办公室关于扶持民办学前教育发展的意见,fg_crawl_faxin,,大庆市人民政府,全国,全国
1ab0f33455f28fac1766ce6b99a59bf4,开封市人民政府办公室关于认真做好2015年市人大代表建议和政协提案办理工作的通知,fg_crawl_faxin,,开封市人民政府,全国,全国
a7c8875e0f977d2118d7a39a91926ed6,咸阳市人民政府办公室关于印发《咸阳市新建住宅供配电设施建设管理暂行办法》的通知,fg_crawl_faxin,,咸阳市人民政府,全国,全国
ea42b8b0574548d3e1f7839a7f403116,大庆市人民政府办公室关于废止庆政办发〔2006〕26号文件的通知,fg_crawl_faxin,,大庆市人民政府,全国,全国
7f0990ef92499fd7df80095545408a04,晋中市人民政府关于加强全市道路交通安全工作的实施意见,fg_crawl_faxin,,晋中市人民政府,全国,全国
1472cb7a5380238e2d298e2f26ddde8b,丹东市人民政府办公室关于市政府领导同志工作分工调整的通知,fg_crawl_faxin,,丹东市人民政府,全国,全国
