lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
3a5bd0dc227bbe45924e78ffef04a00e,广东省实施《中华人民共和国劳动合同法》若干规定（征求意见稿）,fg_lvshangsite,地方法规/文件,广东省人民政府法制办公室,广东省级法规,广东省
ae218c6306eccb5fb175212c5c97388,克拉玛依市国有资产监督管理委员会关于转发《国家民族事务委员会　国务院国有资产监督管理委员会关于进一步做好新形势下国有企业民族工作的指导意见》的通知,fg_lvshangsite,地方法规/文件,克拉玛依市国有资产监督管理委员会,克拉玛依市,新疆维吾尔自治区
4afa98141cb3e036f0e1d9d08074797c,天津市司法局、中国银行业监督管理委员会天津监管局关于办理存款人死亡后其名下储蓄存款过户或支付手续有关事宜的通知,fg_lvshangsite,地方法规/文件,"天津市司法局,中国银行业监督管理委员会天津监管局",直辖市级法规,天津市
d220f654ac74460e093c3ce3adb5dbc6,陕西省金融工作办公室关于印发《陕西省融资性担保公司及分支机构设立审批工作指引（试行）》的通知,fg_lvshangsite,地方法规/文件,陕西省金融工作办公室,陕西省级法规,陕西省
ae9d5a828750fa1bd6ac416641e23aba,关于印发《四川省属企业境外国有资产监督管理暂行办法》的通知,fg_lvshangsite,地方法规/文件,四川省人民政府国有资产监督管理委员会,四川省级法规,四川省
264aa63543f9943d4a32ae2fe7069f10,四川省政府国有资产监督管理委员会关于省属企业国有产权置换有关事项的通知,fg_lvshangsite,地方法规/文件,四川省人民政府国有资产监督管理委员会,四川省级法规,四川省
494520fcb47be77e2707af6f81b3ee64,关于同意广东南枫融资担保集团有限公司变更执行董事、总经理、法定代表人的批复,fg_lvshangsite,地方法规/文件,广东省人民政府金融工作办公室,广东省级法规,广东省
426f5bd03e7b1e1b5ef9a2d622413575,江苏省工商行政管理局关于印发《江苏省农村土地承包经营权流转合同（示范文本）》的通知,fg_lvshangsite,地方法规/文件,江苏省工商行政管理局,江苏省级法规,江苏省
4fbfc199013fc705294f8a00561c9b4d,关于举行《昆明市国资委监管企业对外捐赠管理暂行办法》听证会的公告,fg_lvshangsite,地方法规/文件,昆明市人民政府国有资产监督管理委员会,昆明市,云南省
bb76257ed013b8e90d5e7052f86f4e71,齐齐哈尔市人民政府关于印发齐齐哈尔市行政事业单位国有资产管理暂行办法的通知,fg_lvshangsite,地方法规/文件,齐齐哈尔市人民政府,齐齐哈尔市,黑龙江省
4266b0ffafefea56fd2be1fa4e4b6ae9,四川省财政厅　四川省商务厅关于下达2013年中小商贸企业融资性担保费用补助项目资金的通知,fg_lvshangsite,地方法规/文件,"四川省财政厅,四川省商务厅",四川省级法规,四川省
ce3c37350bace03b850ca9d19ea48756,关于印发峡江县水边镇郭正村委与新干县沂江乡大洲村委山林权属争议协调会议纪要的通知,fg_lvshangsite,地方法规/文件,吉安市人民政府,吉安市,江西省
48b8a867420eb41d232025250fd13497,关于呈送通辽市林地权属登记发证工作开展情况的报告,fg_lvshangsite,地方法规/文件,通辽市林业局,通辽市,内蒙古自治区
ec6417219ff19dcf3f5fc1ea36bd324f,关于实施高校资产管理系统的通知,fg_lvshangsite,地方法规/文件,"陕西省教育厅,省财政厅",陕西省级法规,陕西省
81db94cf1254afed84e44243d73a74df,关于拟注销古田县昌顺融资担保有限公司融资性担保机构经营许可证的公示,fg_lvshangsite,地方法规/文件,福建省经济和信息化委员会,福建省级法规,福建省
76afa3d3fea5929ecee7518348f57612,转发财政部、国家税务总局关于对跨年度老合同实行营业税过渡政策的通知,fg_lvshangsite,地方法规/文件,梅州市地方税务局,梅州市,广东省
1f601d58ad7ea6e589d12e20550cd7db,蚌埠市人民政府关于印发蚌埠市专利权质押贷款管理办法的通知,fg_lvshangsite,地方法规/文件,蚌埠市人民政府,蚌埠市,安徽省
397fc4b60ecb44fcdfe15acd1b58c59a,关于签订2010年度第一批软科学计划项目合同书的通知,fg_lvshangsite,地方法规/文件,深圳市科技工贸和信息化委员会,深圳市,广东省
f1bbbe35397a834d93b8fc8bba042add,关于推行《天津市机动车买卖合同》示范文本的通知,fg_lvshangsite,地方法规/文件,天津市工商行政管理局,直辖市级法规,天津市
795da2853854d7053effc9cbdb0f9906,关于山东金阳矿业集团有限公司金阳煤矿采矿权评估报告书的公告,fg_lvshangsite,地方法规/文件,山东省国土资源厅,山东省级法规,山东省
f61564d10e984faac6d6d2f3719752c9,关于同意撤销广东富洋融资担保有限公司等5家融资担保机构经营许可的批复,fg_lvshangsite,地方法规/文件,广东省人民政府金融工作办公室,广东省级法规,广东省
2c15475c1b90e91d4b3b7af793d8f3c1,辽阳市人民政府办公室转发市国资委关于进一步规范企业国有产权转让进场交易行为意见的通知,fg_lvshangsite,地方法规/文件,辽阳市人民政府,辽阳市,辽宁省
4586674198b04b5aead232ab7790e28b,关于同意汕头市欣发融资担保有限公司变更执行董事、法定代表人的批复,fg_lvshangsite,地方法规/文件,广东省人民政府金融工作办公室,广东省级法规,广东省
6842bfc389933646e440ac28a8692c3a,贵港市人民政府办公室关于调整贵港市企业产权制度改革工作领导小组成员的通知,fg_lvshangsite,地方法规/文件,贵港市人民政府,贵港市,广西壮族自治区
b8f76ec92a461c532109acfe309c3613,浙江省工商行政管理局转发总局关于做好2012～2013年度“守合同重信用”企业公示工作的通知,fg_lvshangsite,地方法规/文件,浙江省工商行政管理局,浙江省级法规,浙江省
90520cbb3450ccb813c4e61628c151df,河南省人民政府国有资产监督管理委员会关于征集会计师事务所参与省管国有企业监事会监督检查的公告,fg_lvshangsite,地方法规/文件,河南省人民政府国有资产监督管理委员会,河南省级法规,河南省
88638e5cd480145db1f6a801605f1992,西安市财政局、西安市工业和信息化委员会关于申报2014年中小企业信用担保机构担保补贴的通知,fg_lvshangsite,地方法规/文件,"西安市财政局,西安市工业和信息化委员会",西安市,陕西省
d54a49a392d1fcab2805baedf1b8a6cd,大丰市人民政府办公室关于对全市“重合同守信用”企业实行政策扶持的意见,fg_lvshangsite,地方法规/文件,江苏省盐城市大丰市人民政府,盐城市,江苏省
77db2cebba61d7e50d727105fb8be2f8,锦州市建筑间距、住宅日照、建筑退让管理规定,fg_lvshangsite,地方法规/文件,锦州市人民政府,锦州市,辽宁省
3fbc2754176bcc6e5357cf25555c7d38,关于营改增后启用新版技术合同登记证明的通知,fg_lvshangsite,地方法规/文件,深圳市技术市场管理办公室,深圳市,广东省
1f3912acc8b5aa9bd2896815c21f0198,关于组织开展本市农村土地承包经营权登记试点工作的实施意见,fg_lvshangsite,地方法规/文件,"上海市农业委员会,上海市财政局,上海市规划和国土资源管理局,上海市人民政府法制办公室,上海市档案局",直辖市级法规,上海市
7b5009098891c2adeff4970fe80e8d5e,湖北省国资委关于印发《湖北省国资委出资企业不良资产剥离暂行办法》的通知,fg_lvshangsite,地方法规/文件,湖北省人民政府国有资产监督管理委员会,湖北省级法规,湖北省
2302f00d627779219e5c05473c494b9f,南平市延平区人民政府关于印发延平区林地确权发证工作实施方案的通知,fg_lvshangsite,地方法规/文件,福建省南平市延平区人民政府,南平市,福建省
5d4b0306be33eca832a3a19c1a5ed06b,广西壮族自治区财政厅、广西壮族自治区国家税务局、广西壮族自治区地方税务局转发财政部　国家税务总局关于中小企业信用担保机构有关准备金企业所得税税前扣除政策的通知,fg_lvshangsite,地方法规/文件,"广西壮族自治区财政厅,广西壮族自治区国家税务局,广西壮族自治区地方税务局",广西区级法规,广西壮族自治区
779d90b4e74125dfaead998a3554d771,关于印发《白碱滩区工商局开展“利用合同格式条款侵犯消费者合法权益专项行动”工作方案》的通知,fg_lvshangsite,地方法规/文件,克拉玛依市白碱滩区工商行政管理,克拉玛依市,新疆维吾尔自治区
acefa40b9254305e414efca2df73526c,河北省工业和信息化厅关于开展2013年度工信部中小企业信用担保机构信息报送工作的通知,fg_lvshangsite,地方法规/文件,河北省工业和信息化厅,河北省级法规,河北省
2c6342114523d850b5d0628a55fb0d4d,关于2013年上半年自治区小额担保贷款工作进展情况的通报,fg_lvshangsite,地方法规/文件,新疆维吾尔自治区人力资源和社会保障厅,新疆区级法规,新疆维吾尔自治区
3094d4ca6c1a7beef0483a9e152182d1,黑龙江省人民政府办公厅关于建立黑龙江省不动产统一登记工作联席会议制度的通知,fg_lvshangsite,地方法规/文件,黑龙江省人民政府,黑龙江省级法规,黑龙江省
600c309a40d5a3e135b3bc4d541f49c5,关于实施合同能源管理项目备案制度的通知,fg_lvshangsite,地方法规/文件,大连市发展和改革委员会,大连市,辽宁省
3a17511b92d24cd2ee89f876f4f83649,连云港市财政局关于开展事业单位国有资产产权登记的通知,fg_lvshangsite,地方法规/文件,连云港市财政局,连云港市,江苏省
916a5634c9d6653a8f9d5ae08e538e34,关于公布广西壮族自治区企业重大国有资产评估项目评审专家名单的公告,fg_lvshangsite,地方法规/文件,广西壮族自治区人民政府国有资产监督管理委员会,广西区级法规,广西壮族自治区
502ac2f2c2cfdb8638e3008c55a0ae,浙江省经济和信息化委员会关于进一步做好中小企业融资担保和行业监管工作的通知,fg_lvshangsite,地方法规/文件,浙江省经济和信息化委员会,浙江省级法规,浙江省
1f47afdeb1ff45ddddc298c02817fb3e,中国人民银行柳州市中心支行　柳州市科学技术局　柳州市知识产权局关于印发《柳州市专利权质押贷款管理暂行办法》的通知,fg_lvshangsite,地方法规/文件,"柳州市科学技术局,柳州市知识产权局,中国人民银行柳州市中心支行",柳州市,广西壮族自治区
ae0ef08fe3b3ebb1e5fe3252d91ae88c,连城县人民政府关于印发连城县中小企业信用担保中心管理办法（修订）的通知,fg_lvshangsite,地方法规/文件,福建省龙岩市连城县人民政府,龙岩市,福建省
4ca40800ab0841069eb44244555bf388,关于同意暂缓换发福建省世盟融资担保有限公司等3家融资性担保机构经营许可证的批复,fg_lvshangsite,地方法规/文件,福建省经济和信息化委员会,福建省级法规,福建省
f182cf7b117c62892cc1c60328ad9553,成都市城乡建设委员会关于转发《四川省住房和城乡建设厅关于印发〈四川省建设工程合同备案管理办法〉的通知》的通知,fg_lvshangsite,地方法规/文件,成都市城乡建设委员会,成都市,四川省
2d7d6f93a732957e63291a34a25c41d9,关于核准含山县通达融资担保有限责任公司葛世平任职资格的批复,fg_lvshangsite,地方法规/文件,安徽省人民政府金融工作办公室,安徽省级法规,安徽省
79b59f68180be7f703085896dd94e2c,关于对产权交易机构开展监督检查有关工作的通知,fg_lvshangsite,地方法规/文件,湖南省人民政府国有资产监督管理委员会,湖南省级法规,湖南省
1146ef0ed5f4d4437126bfb3b363df72,关于吉林省临江市花山镇老三队地热资源勘查探矿权拟以挂牌方式出让公告,fg_lvshangsite,地方法规/文件,吉林省矿业权交易管理中心,吉林省级法规,吉林省
86932271fe81124bd8b4ed93e5d5f4b9,太原市人民政府办公厅关于印发太原市市级企业国有资本收益收取管理暂行办法的通知,fg_lvshangsite,地方法规/文件,太原市人民政府,太原市,山西省
f52220d65256b7ba401f4b8e36c3ceed,河北省工业和信息化厅、河北省财政厅关于组织申报2014年融资性担保机构风险补偿项目的通知,fg_lvshangsite,地方法规/文件,"河北省工业和信息化厅,省财政厅",河北省级法规,河北省
1fd1bbbba2f04300c8b8f1e97e667c0b,赣州市人民政府关于支持中小微型企业融资担保的意见,fg_lvshangsite,地方法规/文件,赣州市人民政府,赣州市,江西省
34709d4bb999b9aaa99434f98e4e8fe4,关于做好重合同守信用企业2009年度信用复查和2010年度发展工作的通知,fg_lvshangsite,地方法规/文件,扬州市工商行政管理局,扬州市,江苏省
797d053f410335ab2d71621b35d5edf5,关于填报专利权质押贷款项目的通知,fg_lvshangsite,地方法规/文件,贵州省知识产权局,贵州省级法规,贵州省
f32ee76eba01b3973bf0e70b004b7a16,关于开展2013年度南昌市中小企业信用担保机构风险补偿申报及奖励工作的通知,fg_lvshangsite,地方法规/文件,"南昌市工业和信息化委员会,市财政局",南昌市,江西省
43bcdacfea57e24cadf6ca5ce70c339a,印发中山市产权交易管理暂行规定的通知,fg_lvshangsite,地方法规/文件,中山市人民政府,中山市,广东省
79bb30f69a5cd90b12423659f03b353e,关于签定二〇〇九年省科技计划重大、重点项目任务合同书的补充通知,fg_lvshangsite,地方法规/文件,辽宁省科学技术厅,辽宁省级法规,辽宁省
3a295304af5b7fc79519a6897be169c8,陕西省工商行政管理局关于申报和推荐2009年度省级守合同重信用企业的通知,fg_lvshangsite,地方法规/文件,陕西省工商行政管理局,陕西省级法规,陕西省
da91542c44129d573f627e39b1d8ac3f,上海市司法局关于同意上海司法会堂国有资产处置的批复,fg_lvshangsite,地方法规/文件,上海市司法局,直辖市级法规,上海市
7b73b9328bd89e131f0961954734829f,关于印发《遵义市市级行政事业单位国有资产管理暂行办法》的通知,fg_lvshangsite,地方法规/文件,遵义市人民政府,遵义市,贵州省
3414a52bac58b0999b4373e6dcc1044f,关于印发阜阳市融资性担保业务监管联席会议工作职责的通知,fg_lvshangsite,地方法规/文件,阜阳市人民政府,阜阳市,安徽省
873f80f5570da671dd5920a6d9ce17da,威海市国资委关于进一步加强市管企业产权管理工作的意见,fg_lvshangsite,地方法规/文件,威海市国有资产监督管理委员会,威海市,山东省
b8e535d06cf8179abd0ffeab257abb44,关于推行使用《上海市养老服务合同示范文本（2012机构版）》的通知,fg_lvshangsite,地方法规/文件,"上海市工商行政管理局,上海市民政局,上海市社会福利行业协会",直辖市级法规,上海市
4246286a08875c112f00e8f68950ab5b,厦门市人民政府关于T2010Y27工业用地国有建设用地使用权挂牌（预申请）出让方案的批复,fg_lvshangsite,地方法规/文件,厦门市人民政府,厦门市,福建省
db2f2a72974fa51ee3d44ec103b47f2a,上海市政府办公厅转发市金融办等七部门关于本市促进知识产权质押融资工作实施意见的通知,fg_lvshangsite,地方法规/文件,上海市人民政府,直辖市级法规,上海市
30a1bc079891c26a32162132a3032fd9,山西省人民政府办公厅关于印发山西省省属国有企业财务等重大信息公开实施细则（试行）的通知,fg_lvshangsite,地方法规/文件,山西省人民政府,山西省级法规,山西省
f55bdeac5b824b6020eeb0c6ff9f1986,吉林省关于2013年第3批矿业权评估项目招标有关事宜的通知,fg_lvshangsite,地方法规/文件,吉林省矿业权交易管理中心,吉林省级法规,吉林省
7bb5cb8bf183a6fa01881a05df95432d,关于市级矿业权交易机构建设情况的通报,fg_lvshangsite,地方法规/文件,浙江省国土资源厅,浙江省级法规,浙江省
6f524a84a91f9caf8e2938a1dc2f7a49,关于进一步推进整治利用合同格式条款侵害消费者合法权益专项行动的通知,fg_lvshangsite,地方法规/文件,湖南省工商行政管理局,湖南省级法规,湖南省
cadc2e8133b5496086c7e561df8b0a76,唐山市工业和信息化局关于转发河北省中小企业局《关于转让融资性担保机构股权有关问题的通知》的通知,fg_lvshangsite,地方法规/文件,唐山市工业和信息化局,唐山市,河北省
