lid,title,ds_source,eff_level,dispatch_authority,effective_range,province
69b603d18eff567c001ea51475b8a13d,铜仁市人民政府办公室关于印发2018年政府工作报告任务分解方案的通知,fg_crawl_pkulaw,地方法规/文件,82277,,
d16c293790d5f1877a575dc05fa6ffbf,长沙市教育局关于2018年长沙市教育局直属单位公开招聘教师递补资格审查的通知,fg_crawl_pkulaw,地方法规/文件,817060004,,
1e990ae7741661c9cbc03e510405e903,济南市城乡水务局关于公布规范性文件清理结果的决定,fg_crawl_pkulaw,地方法规/文件,815060222,,
684ccf43c597cdd6931d0b433c98c83c,安徽省财政厅关于做好2017年度行政事业单位经管资产报告及自然资源国有资产报告试点工作的通知,fg_crawl_pkulaw,地方法规/文件,812030008,,
a15f1b9804275e82a7418652bc64cb4b,湖南省发改委关于组织申报2018年省预算内基建投资“园区新动能培育”专项项目的通知,fg_crawl_pkulaw,地方法规/文件,817030003,,
a15f28b6b394ed81b12b672577513c52,四川省安全监管局、四川煤监局关于印发《〈煤矿安全培训规定〉宣贯方案》的通知,fg_crawl_pkulaw,地方法规/文件,"821030106,821030170",,
308c2b7aac8adff7938532863bdf5c91,湖南省发展和改革委员会关于湖南佳信佰生物技术有限公司动物副产物微生物发酵结合酶解法制取1000吨/年生物活性肽（氨基酸）系列产品高技术产业化示范工程项目验收的批复,fg_crawl_pkulaw,地方法规/文件,817030003,,
3a09be87afcc34c76e797f20af005301,晋城市安全生产委员会办公室关于2017年度全市安全生产工作目标责任考核考评工作的通知,fg_crawl_pkulaw,地方法规/文件,804170103,,
f7ed6fa51b55b52c7e34efd39b815e32,山东省人民政府办公厅关于进一步完善集体林权制度的通知,fg_crawl_pkulaw,地方法规/文件,81502,,
1a5bcc2a5239a10422cd43336a34a13a,南宁市人大常委会关于接受张卫辞职请求的决定,fg_crawl_pkulaw,地方法规/文件,82004,,
d1f04a49f0e93801f64073956fb1d249,城头山遗址保护办法,fg_crawl_pkulaw,地方法规/文件,81738,,
d9cde85a74a17b6e1809b6a71248eb16,三明市人民政府关于下达2018年重大动物疫病防控目标管理责任书的通知,fg_crawl_pkulaw,地方法规/文件,81311,,
ec7cdbb2021eab1f80dfe7ebdf88a964,安徽省人民政府金融工作办公室关于宣布失效一批省政府金融办文件的通知,fg_crawl_pkulaw,地方法规/文件,812030247,,
a736ea42661bc8322c0abe1ef4479c06,晋城市安全生产委员会办公室转发山西省安全生产监督管理局《关于做好冶金工贸行业“春节”“两会”期间安全生产工作的通知》的通知,fg_crawl_pkulaw,地方法规/文件,804170103,,
4a090661cb63c5d1351fceffc0844b0e,福州市不动产登记和交易中心志愿服务工作机制,fg_crawl_pkulaw,地方法规/文件,813060206,,
56037d5f4407ba4a8f94aa0422b0559a,银川市人民政府办公厅关于印发银川市2018年招商引资工作安排意见的通知,fg_crawl_pkulaw,地方法规/文件,82805,,
f807aeae11fd70902b0ecc86c60c51ab,晋城市住房城乡建设局关于印发晋城市住房城乡建设局重污染天气应急预案的通知,fg_crawl_pkulaw,地方法规/文件,804170014,,
f1bec5bcecf6c403e429f0844ac69d6c,阳泉市住房保障和城乡建设管理局关于印发《“双随机一公开”随机抽查重点事项清单》的通知,fg_crawl_pkulaw,地方法规/文件,804140014,,
713c0ae52c37d3b7328374270151fe3f,山西省教育厅关工委转发《教育部关工委关于深入学习宣传贯彻党的十九大精神的通知》的通知,fg_crawl_pkulaw,地方法规/文件,804140004,,
